Protein IDs,Majority_protein_IDs,Protein names,Gene names,Fasta headers,APC1-1,APC1-2,APC1-3,BRE2-1,BRE2-2,BRE2-3,BY4741-1,BY4741-2,BY4741-3,CCR4-1,CCR4-2,CCR4-3,NOT3-1,NOT3-2,NOT3-3,ORM1-1,ORM1-2,ORM1-3,ORM2-1,ORM2-2,ORM2-3
P17121,P17121,GTPase-activating protein SAC7,SAC7,>sp|P17121|SAC7_YEAST GTPase-activating protein SAC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAC7 PE=1 SV=2,0,0,2,3,2,3,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2
P17255,P17255,V-type proton ATPase catalytic subunit A;Endonuclease PI-SceI,VMA1,>sp|P17255|VATA_YEAST V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3,21,15,19,18,17,18,28,24,19,18,14,12,13,18,14,11,15,11,7,6,10
P17423,P17423,Homoserine kinase,THR1,>sp|P17423|KHSE_YEAST Homoserine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR1 PE=1 SV=4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P17442,P17442,Phosphate system positive regulatory protein PHO81,PHO81,>sp|P17442|PHO81_YEAST Phosphate system positive regulatory protein PHO81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO81 PE=1 SV=2,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
P17505,P17505,"Malate dehydrogenase, mitochondrial",MDH1,">sp|P17505|MDHM_YEAST Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH1 PE=1 SV=2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P17555,P17555,Adenylyl cyclase-associated protein,SRV2,>sp|P17555|CAP_YEAST Adenylyl cyclase-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRV2 PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P17558,P17558,"37S ribosomal protein PET123, mitochondrial",PET123,">sp|P17558|RTPT_YEAST 37S ribosomal protein PET123, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET123 PE=1 SV=1",0,0,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
P17629,P17629,THO complex subunit HPR1,HPR1,>sp|P17629|HPR1_YEAST THO complex subunit HPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPR1 PE=1 SV=2,1,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
P17695,P17695,"Glutaredoxin-2, mitochondrial",GRX2,">sp|P17695|GLRX2_YEAST Glutaredoxin-2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX2 PE=1 SV=3",0,0,0,1,0,1,2,3,0,1,0,1,0,0,0,2,1,1,2,2,2
P17709,P17709,Glucokinase-1,GLK1,>sp|P17709|HXKG_YEAST Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLK1 PE=1 SV=1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,2,1,0,1,0,0
P17883,P17883,Superkiller protein 3,SKI3,>sp|P17883|SKI3_YEAST Superkiller protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKI3 PE=1 SV=2,0,0,0,1,0,1,2,3,1,2,0,0,0,0,0,0,0,1,1,1,2
P17898,P17898,Cholinephosphotransferase 1,CPT1,>sp|P17898|CPT1_YEAST Cholinephosphotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPT1 PE=1 SV=3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P17967,P17967,Protein disulfide-isomerase,PDI1,>sp|P17967|PDI_YEAST Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2,2,2,2,2,3,4,7,4,4,2,2,2,0,3,1,5,3,5,4,5,2
P18238,P18238,"ADP,ATP carrier protein 3",AAC3,">sp|P18238|ADT3_YEAST ADP,ATP carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAC3 PE=1 SV=1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18239,P18239,"ADP,ATP carrier protein 2",PET9,">sp|P18239|ADT2_YEAST ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET9 PE=1 SV=2",9,8,8,11,12,10,23,15,19,7,10,12,7,12,10,9,5,9,10,9,11
P18480,P18480,SWI/SNF chromatin-remodeling complex subunit SNF5,SNF5,>sp|P18480|SNF5_YEAST SWI/SNF chromatin-remodeling complex subunit SNF5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF5 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18496,P18496,Mitochondrial ATPase complex subunit ATP10,ATP10,>sp|P18496|ATP10_YEAST Mitochondrial ATPase complex subunit ATP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP10 PE=1 SV=2,0,0,0,0,0,2,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0
P18562,P18562,Uracil phosphoribosyltransferase,FUR1,>sp|P18562|UPP_YEAST Uracil phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUR1 PE=1 SV=2,0,0,0,3,2,3,1,1,1,0,0,1,2,0,1,0,1,0,0,0,0
P18759,P18759,Vesicular-fusion protein SEC18,SEC18,>sp|P18759|SEC18_YEAST Vesicular-fusion protein SEC18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC18 PE=1 SV=2,2,2,4,5,2,2,3,1,1,4,1,1,3,2,1,2,2,3,3,1,3
P18851,P18851,Guanine nucleotide-binding protein subunit beta,STE4,>sp|P18851|GBB_YEAST Guanine nucleotide-binding protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE4 PE=1 SV=2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18888,P18888,Transcription regulatory protein SNF6,SNF6,>sp|P18888|SNF6_YEAST Transcription regulatory protein SNF6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF6 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18900,P18900,"Hexaprenyl pyrophosphate synthase, mitochondrial",COQ1,">sp|P18900|COQ1_YEAST Hexaprenyl pyrophosphate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COQ1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P18963,P18963,Inhibitory regulator protein IRA1,IRA1,>sp|P18963|IRA1_YEAST Inhibitory regulator protein IRA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRA1 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19073,P19073,Cell division control protein 42,CDC42,>sp|P19073|CDC42_YEAST Cell division control protein 42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC42 PE=1 SV=2,1,1,1,1,1,2,3,2,2,3,3,2,2,2,2,1,2,2,1,2,2
P19097,P19097,Fatty acid synthase subunit alpha;Acyl carrier;3-oxoacyl-[acyl-carrier-protein] reductase;3-oxoacyl-[acyl-carrier-protein] synthase,FAS2,>sp|P19097|FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2,28,14,26,37,37,36,44,32,39,25,26,23,18,16,14,31,33,43,37,32,35
P19146,P19146,ADP-ribosylation factor 2,ARF2,>sp|P19146|ARF2_YEAST ADP-ribosylation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARF2 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19158,P19158,Inhibitory regulator protein IRA2,IRA2,>sp|P19158|IRA2_YEAST Inhibitory regulator protein IRA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRA2 PE=1 SV=2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
P19262,P19262,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",KGD2,">sp|P19262|ODO2_YEAST Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD2 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19263,P19263,Mediator of RNA polymerase II transcription subunit 14,RGR1,>sp|P19263|MED14_YEAST Mediator of RNA polymerase II transcription subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RGR1 PE=1 SV=2,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
P19358,P19358,S-adenosylmethionine synthase 2,SAM2,>sp|P19358|METK2_YEAST S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM2 PE=1 SV=3,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
P19414,P19414,"Aconitate hydratase, mitochondrial",ACO1,">sp|P19414|ACON_YEAST Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO1 PE=1 SV=2",9,6,14,8,7,5,7,8,5,9,8,7,5,7,5,1,1,2,3,3,1
P19454,P19454,Casein kinase II subunit alpha,CKA2,>sp|P19454|CSK22_YEAST Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA2 PE=1 SV=2,2,2,1,5,3,2,3,1,2,1,2,2,2,1,1,1,0,1,1,1,1
P19524,P19524,Myosin-2,MYO2,>sp|P19524|MYO2_YEAST Myosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO2 PE=1 SV=1,4,4,5,7,6,4,6,8,5,9,4,4,5,6,5,2,1,6,4,1,5
P19658,P19658,Exocyst complex component EXO70,EXO70,>sp|P19658|EXO70_YEAST Exocyst complex component EXO70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EXO70 PE=1 SV=1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
P19659,P19659,Mediator of RNA polymerase II transcription subunit 15,GAL11,>sp|P19659|MED15_YEAST Mediator of RNA polymerase II transcription subunit 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL11 PE=1 SV=3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
P19735,P19735,Pre-mRNA-splicing factor 6,PRP6,>sp|P19735|PRP6_YEAST Pre-mRNA-splicing factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP6 PE=1 SV=1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
P19736,P19736,Pre-mRNA-splicing factor PRP9,PRP9,>sp|P19736|PRP9_YEAST Pre-mRNA-splicing factor PRP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP9 PE=1 SV=1,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
P19812,P19812,E3 ubiquitin-protein ligase UBR1,UBR1,>sp|P19812|UBR1_YEAST E3 ubiquitin-protein ligase UBR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBR1 PE=1 SV=1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,1,0,1
P19880,P19880,AP-1-like transcription factor YAP1,YAP1,>sp|P19880|YAP1_YEAST AP-1-like transcription factor YAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP1 PE=1 SV=2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19882,P19882,"Heat shock protein 60, mitochondrial",HSP60,">sp|P19882|HSP60_YEAST Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1",9,6,15,11,13,10,10,9,6,6,6,8,9,5,4,6,5,4,8,6,5
P20049,P20049,Prephenate dehydrogenase [NADP(+)],TYR1,>sp|P20049|TYR1_YEAST Prephenate dehydrogenase [NADP(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYR1 PE=1 SV=2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
P20053,P20053,U4/U6 small nuclear ribonucleoprotein PRP4,PRP4,>sp|P20053|PRP4_YEAST U4/U6 small nuclear ribonucleoprotein PRP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP4 PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
P20081,P20081,FK506-binding protein 1,FPR1,>sp|P20081|FKBP_YEAST FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FPR1 PE=1 SV=2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
P20084,P20084,"54S ribosomal protein L33, mitochondrial",MRPL33,">sp|P20084|RM33_YEAST 54S ribosomal protein L33, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL33 PE=1 SV=4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
P20095,P20095,Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2,PRP2,>sp|P20095|PRP2_YEAST Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP2 PE=1 SV=1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P20107,P20107,Zinc/cadmium resistance protein,ZRC1,>sp|P20107|ZRC1_YEAST Zinc/cadmium resistance protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZRC1 PE=1 SV=2,1,0,2,2,3,1,2,1,1,1,0,1,1,0,1,1,0,1,1,1,0
P20424,P20424,Signal recognition particle subunit SRP54,SRP54,>sp|P20424|SRP54_YEAST Signal recognition particle subunit SRP54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP54 PE=1 SV=2,7,1,8,10,9,8,11,10,12,4,6,6,3,5,7,6,2,6,4,5,5
P20434,P20434,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",RPB5,">sp|P20434|RPAB1_YEAST DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB5 PE=1 SV=1",3,3,3,2,2,2,1,2,1,2,3,2,2,2,2,2,1,1,2,1,1
P20435,P20435,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",RPO26,">sp|P20435|RPAB2_YEAST DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO26 PE=1 SV=1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P20436,P20436,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",RPB8,">sp|P20436|RPAB3_YEAST DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB8 PE=1 SV=1",2,2,3,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,0,2
P20447,P20447,ATP-dependent RNA helicase DBP3,DBP3,>sp|P20447|DBP3_YEAST ATP-dependent RNA helicase DBP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP3 PE=1 SV=2,20,27,23,32,33,34,31,27,28,29,27,27,31,32,23,18,13,22,19,18,20
P20448,P20448,ATP-dependent RNA helicase HCA4,HCA4,>sp|P20448|DBP4_YEAST ATP-dependent RNA helicase HCA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HCA4 PE=1 SV=2,9,7,10,13,14,18,10,10,8,8,10,7,10,7,7,8,7,11,8,5,14
P20449,P20449,ATP-dependent RNA helicase DBP5,DBP5,>sp|P20449|DBP5_YEAST ATP-dependent RNA helicase DBP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP5 PE=1 SV=2,3,0,1,4,4,2,1,1,2,1,2,4,1,2,0,1,0,1,0,0,1
P20459,P20459,Eukaryotic translation initiation factor 2 subunit alpha,SUI2,>sp|P20459|IF2A_YEAST Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI2 PE=1 SV=1,9,11,10,9,7,8,4,6,5,10,9,12,10,11,9,5,2,8,5,4,6
P20484,P20484,Protein MAK11,MAK11,>sp|P20484|MAK11_YEAST Protein MAK11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK11 PE=1 SV=1,9,8,8,13,11,13,7,9,10,9,12,8,9,9,8,5,5,11,8,7,7
P20485,P20485,Choline kinase,CKI1,>sp|P20485|KICH_YEAST Choline kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKI1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20606,P20606,Small COPII coat GTPase SAR1,SAR1,>sp|P20606|SAR1_YEAST Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAR1 PE=1 SV=1,1,0,1,2,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1
P20676,P20676,Nucleoporin NUP1,NUP1,>sp|P20676|NUP1_YEAST Nucleoporin NUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20795,P20795,Vacuolar protein sorting-associated protein 33,VPS33,>sp|P20795|VPS33_YEAST Vacuolar protein sorting-associated protein 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS33 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20967,P20967,"2-oxoglutarate dehydrogenase, mitochondrial",KGD1,">sp|P20967|ODO1_YEAST 2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD1 PE=1 SV=2",2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,0,0,2,0,0,1
P21147,P21147,Acyl-CoA desaturase 1,OLE1,>sp|P21147|ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLE1 PE=1 SV=2,8,6,9,15,13,14,8,9,8,7,5,5,5,7,6,5,4,7,7,10,7
P21242,P21242,Probable proteasome subunit alpha type-7,PRE10,>sp|P21242|PSA7_YEAST Probable proteasome subunit alpha type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE10 PE=1 SV=2,1,1,1,2,1,0,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0
P21243,P21243,Proteasome subunit alpha type-1,SCL1,>sp|P21243|PSA1_YEAST Proteasome subunit alpha type-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCL1 PE=1 SV=1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
P21264,P21264,Phosphoribosylaminoimidazole carboxylase,ADE2,>sp|P21264|PUR6_YEAST Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE2 PE=1 SV=1,0,1,1,0,1,0,2,2,3,1,0,0,0,0,1,1,3,1,2,1,1
P21269-2;P21269,P21269-2,"CCA tRNA nucleotidyltransferase, mitochondrial",CCA1,">sp|P21269-2|CCA1_YEAST Isoform Cytoplasmic+nuclear 1 of CCA tRNA nucleotidyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCA1;>sp|P21269|CCA1_YEAST CCA tRNA nucleotidyltransferase, mitochondrial OS=Saccharomyces c",0,1,2,5,3,1,1,2,1,0,0,0,0,1,0,1,0,0,1,0,1
P21269-3,P21269-3,,,">sp|P21269-3|CCA1_YEAST Isoform Cytoplasmic+nuclear 2 of CCA tRNA nucleotidyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCA1",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
P21304,P21304,Periodic tryptophan protein 1,PWP1,>sp|P21304|PWP1_YEAST Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PWP1 PE=1 SV=1,7,4,7,13,13,14,11,10,8,5,3,7,5,2,6,8,4,9,7,6,7
P21339,P21339,Morphogenesis-related protein MSB1,MSB1,>sp|P21339|MSB1_YEAST Morphogenesis-related protein MSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSB1 PE=1 SV=1,2,1,0,3,5,8,3,3,8,2,0,0,0,3,3,1,0,0,1,0,0
P21372,P21372,Pre-mRNA-processing ATP-dependent RNA helicase PRP5,PRP5,>sp|P21372|PRP5_YEAST Pre-mRNA-processing ATP-dependent RNA helicase PRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP5 PE=1 SV=1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21373,P21373,NAD(+) kinase,UTR1,>sp|P21373|UTR1_YEAST NAD(+) kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTR1 PE=1 SV=2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P21374,P21374,Pre-mRNA-splicing factor ISY1,ISY1,>sp|P21374|ISY1_YEAST Pre-mRNA-splicing factor ISY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISY1 PE=1 SV=2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21524,P21524,Ribonucleoside-diphosphate reductase large chain 1,RNR1,>sp|P21524|RIR1_YEAST Ribonucleoside-diphosphate reductase large chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR1 PE=1 SV=2,3,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1
P21538,P21538,DNA-binding protein REB1,REB1,>sp|P21538|REB1_YEAST DNA-binding protein REB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REB1 PE=1 SV=2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P21560,P21560,"Protein CBP3, mitochondrial",CBP3,">sp|P21560|CBP3_YEAST Protein CBP3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBP3 PE=1 SV=1",1,3,3,3,2,2,4,2,3,2,3,3,1,1,0,1,0,2,2,1,1
P21576,P21576,Vacuolar protein sorting-associated protein 1,VPS1,>sp|P21576|VPS1_YEAST Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,5,4,4,9,5,4,10,11,9,10,11,5,4,8,8,4,3,4,5,2,3
P21672,P21672,Ribonucleoside-diphosphate reductase large chain 2,RNR3,>sp|P21672|RIR3_YEAST Ribonucleoside-diphosphate reductase large chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR3 PE=1 SV=4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21771,P21771,"37S ribosomal protein S28, mitochondrial",MRPS28,">sp|P21771|RT28_YEAST 37S ribosomal protein S28, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS28 PE=1 SV=1",0,0,0,2,2,3,2,3,2,0,2,1,0,0,0,2,2,2,3,3,1
P21825,P21825,Translocation protein SEC62,SEC62,>sp|P21825|SEC62_YEAST Translocation protein SEC62 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC62 PE=1 SV=2,2,1,2,7,6,4,3,4,1,2,1,2,1,1,1,2,3,4,1,2,2
P21827,P21827,Guanine nucleotide exchange factor SRM1,SRM1,>sp|P21827|RCC1_YEAST Guanine nucleotide exchange factor SRM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRM1 PE=1 SV=1,7,7,7,11,10,13,8,10,10,9,3,7,5,3,6,6,1,5,6,4,5
P21951,P21951,DNA polymerase epsilon catalytic subunit A,POL2,>sp|P21951|DPOE_YEAST DNA polymerase epsilon catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL2 PE=1 SV=1,2,3,3,4,4,5,4,4,2,2,2,3,2,2,1,3,1,3,3,3,4
P21954,P21954,"Isocitrate dehydrogenase [NADP], mitochondrial",IDP1,">sp|P21954|IDHP_YEAST Isocitrate dehydrogenase [NADP], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP1 PE=1 SV=1",2,2,4,1,2,3,3,2,1,4,4,3,3,3,4,1,2,2,1,1,1
P21957,P21957,Transcriptional repressor OPI1,OPI1,>sp|P21957|OPI1_YEAST Transcriptional repressor OPI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OPI1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21965,P21965,Protein kinase MCK1,MCK1,>sp|P21965|MCK1_YEAST Protein kinase MCK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCK1 PE=1 SV=1,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
P22082,P22082,Transcription regulatory protein SNF2,SNF2,>sp|P22082|SNF2_YEAST Transcription regulatory protein SNF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF2 PE=1 SV=1,3,0,1,2,3,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,2
P22136,P22136,"ATPase expression protein 2, mitochondrial",AEP2,">sp|P22136|AEP2_YEAST ATPase expression protein 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AEP2 PE=1 SV=3",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P22137,P22137,Clathrin heavy chain,CHC1,>sp|P22137|CLH_YEAST Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHC1 PE=1 SV=1,7,6,6,9,5,10,10,10,8,8,8,11,7,7,4,8,3,11,8,7,7
